time,set,attacker/noise,hit/miss
14878642500,63,attacker,hit
14975812000,41,noise,hit
15003502000,5,noise,hit
15009603500,0,attacker,hit
15009604500,37,noise,hit
15009607500,1,attacker,hit
15009612500,25,noise,hit
15009620000,60,noise,hit
15009625000,2,attacker,hit
15009635000,41,noise,hit
15009635500,43,noise,hit
15009640000,3,attacker,hit
15009643000,13,noise,hit
15009655000,13,noise,hit
15009669000,12,noise,hit
15009670000,12,noise,hit
15009670000,12,noise,hit
15009681000,41,noise,hit
15009685000,6,attacker,hit
15009698000,40,noise,hit
15009700000,7,attacker,hit
15009715000,8,attacker,hit
15009719000,29,noise,hit
15009730000,9,attacker,hit
15009734500,51,noise,hit
15009734500,57,noise,hit
15009745000,10,attacker,hit
15009751500,33,noise,hit
15009752000,15,noise,hit
15009760000,11,attacker,hit
15009775000,30,noise,hit
15009775000,48,noise,hit
15009790000,13,attacker,hit
15009796000,26,noise,hit
15009804000,48,noise,hit
15009805000,14,attacker,hit
15009820000,48,noise,hit
15009820000,15,attacker,hit
15009835000,16,attacker,hit
15009842000,30,noise,hit
15009847500,49,noise,hit
15009850000,46,noise,hit
15009865000,18,attacker,hit
15009865500,6,noise,hit
15009880000,19,attacker,hit
15009880500,40,noise,hit
15009895000,62,noise,hit
15009910000,21,attacker,hit
15009925000,22,attacker,hit
15009929500,47,noise,hit
15009940000,23,attacker,hit
15009955000,24,attacker,hit
15009970000,25,attacker,hit
15009985000,26,attacker,hit
15009989000,40,noise,hit
15010000000,27,attacker,hit
15010003500,62,noise,hit
15010006000,40,noise,hit
15010015000,28,attacker,hit
15010017000,40,noise,hit
15010017000,10,noise,hit
15010030000,29,attacker,hit
15010045000,30,attacker,hit
15010048000,48,noise,hit
15010056000,0,noise,hit
15010060000,31,attacker,hit
15010064000,18,noise,hit
15010064000,25,noise,hit
15010075000,32,attacker,hit
15010078500,53,noise,hit
15010078500,8,noise,hit
15010090000,33,attacker,hit
15010094000,49,noise,hit
15010105000,34,attacker,hit
15010108500,22,noise,hit
15010120000,35,attacker,hit
15010124000,43,noise,hit
15010135000,36,attacker,hit
15010136500,41,noise,hit
15010150000,37,attacker,hit
15010162500,42,noise,hit
15010165000,38,attacker,hit
15010180000,39,attacker,hit
15010180000,47,noise,hit
15010195000,40,attacker,hit
15010210000,41,attacker,hit
15010210000,40,noise,hit
15010211000,40,noise,hit
15010225000,42,attacker,hit
15010240000,43,attacker,hit
15010255000,44,attacker,hit
15010270000,45,attacker,hit
15010285000,46,attacker,hit
15010285000,41,noise,hit
15010300000,40,noise,hit
15010300000,2,noise,hit
15010308000,29,noise,hit
15010315000,48,attacker,hit
15010316000,25,noise,hit
15010330000,49,attacker,hit
15010333500,40,noise,hit
15010338500,40,noise,hit
15010345000,50,attacker,hit
15010346000,40,noise,hit
15010360000,51,attacker,hit
15010360500,22,noise,hit
15010375000,52,attacker,hit
15010390000,53,attacker,hit
15010391000,4,noise,hit
15010405000,54,attacker,hit
15010410500,52,noise,hit
15010413000,14,noise,hit
15010420000,55,attacker,hit
15010429000,15,noise,hit
15010431500,0,noise,hit
15010435000,56,attacker,hit
15010436500,51,noise,hit
15010450000,57,attacker,hit
15010451500,28,noise,hit
15010465000,58,attacker,hit
15010466500,28,noise,hit
15010468000,3,noise,hit
15010480000,59,attacker,hit
15010481500,29,noise,hit
15010483000,4,noise,hit
15010495000,60,attacker,hit
15010496500,29,noise,hit
15010510000,61,attacker,hit
15010511500,29,noise,hit
15010513000,6,noise,hit
15010525000,62,attacker,hit
