time,set,attacker/noise,hit/miss
15277541000,63,attacker,hit
15335304500,40,noise,hit
15405985500,0,attacker,hit
15405989500,1,attacker,hit
15406005500,47,noise,hit
15406007000,2,attacker,hit
15406022000,3,attacker,hit
15406030000,37,noise,hit
15406037000,4,attacker,hit
15406043500,8,noise,hit
15406043500,40,noise,hit
15406052000,5,attacker,hit
15406055500,20,noise,hit
15406063000,48,noise,hit
15406067000,40,noise,hit
15406082000,40,noise,hit
15406089500,2,noise,hit
15406093000,34,noise,hit
15406097000,8,attacker,hit
15406108000,43,noise,hit
15406112000,9,attacker,hit
15406127000,10,attacker,hit
15406142000,11,attacker,hit
15406142500,12,noise,hit
15406157000,12,attacker,hit
15406162500,40,noise,hit
15406168000,40,noise,hit
15406172000,13,attacker,hit
15406187000,14,attacker,hit
15406189500,18,noise,hit
15406190000,31,noise,hit
15406202000,15,attacker,hit
15406202000,40,noise,hit
15406215000,8,noise,hit
15406217000,16,attacker,hit
15406232000,17,attacker,hit
15406247000,13,noise,hit
15406252000,47,noise,hit
15406256500,30,noise,hit
15406262000,19,attacker,hit
15406265500,40,noise,hit
15406272000,40,noise,hit
15406277000,20,attacker,hit
15406282000,3,noise,hit
15406286000,40,noise,hit
15406292000,21,attacker,hit
15406295500,40,noise,hit
15406307000,22,attacker,hit
15406307000,41,noise,hit
15406318500,40,noise,hit
15406322000,23,attacker,hit
15406327500,2,noise,hit
15406337000,24,attacker,hit
15406348500,48,noise,hit
15406350500,22,noise,hit
15406352000,25,attacker,hit
15406367000,26,attacker,hit
15406382000,27,attacker,hit
15406397000,28,attacker,hit
15406412000,29,attacker,hit
15406414500,40,noise,hit
15406419500,17,noise,hit
15406427000,30,attacker,hit
15406442000,31,attacker,hit
15406445500,10,noise,hit
15406452500,41,noise,hit
15406457000,32,attacker,hit
15406472000,33,attacker,hit
15406475000,13,noise,hit
15406487000,34,attacker,hit
15406501000,12,noise,hit
15406502000,12,noise,hit
15406517000,36,attacker,hit
15406530000,40,noise,hit
15406532000,37,attacker,hit
15406534000,54,noise,hit
15406547000,38,attacker,hit
15406551000,25,noise,hit
15406558500,58,noise,hit
15406562000,39,attacker,hit
15406577000,40,noise,hit
15406584000,11,noise,hit
15406592000,41,attacker,hit
15406593500,22,noise,hit
15406607000,42,attacker,hit
15406607000,15,noise,hit
15406622000,43,attacker,hit
15406637000,44,attacker,hit
15406651000,1,noise,hit
15406651500,36,noise,hit
15406652000,45,attacker,hit
15406652000,48,noise,hit
15406661500,40,noise,hit
15406667000,46,attacker,hit
15406674000,40,noise,hit
15406679500,40,noise,hit
15406682000,62,noise,hit
15406697000,48,attacker,hit
15406697500,49,noise,hit
15406697500,0,noise,hit
15406712000,49,attacker,hit
15406712500,40,noise,hit
15406727000,5,noise,hit
15406737000,34,noise,hit
15406742000,41,noise,hit
15406756500,40,noise,hit
15406757000,52,attacker,hit
15406761500,40,noise,hit
15406764000,47,noise,hit
15406772000,53,attacker,hit
15406776000,40,noise,hit
15406787000,54,attacker,hit
15406802000,55,attacker,hit
15406817000,56,attacker,hit
15406821000,40,noise,hit
15406828500,40,noise,hit
15406832000,57,attacker,hit
15406835500,59,noise,hit
15406847000,58,attacker,hit
15406849000,19,noise,hit
15406849000,34,noise,hit
15406862000,59,attacker,hit
15406864000,5,noise,hit
15406864000,43,noise,hit
15406877000,60,attacker,hit
15406880000,48,noise,hit
15406888000,31,noise,hit
15406892000,61,attacker,hit
15406907000,62,attacker,hit
