time,set,attacker/noise,hit/miss
15538931000,63,attacker,hit
15577264500,51,noise,hit
15667715500,0,attacker,hit
15667717500,40,noise,hit
15667719500,1,attacker,hit
15667737000,2,attacker,hit
15667752000,7,noise,hit
15667767000,4,attacker,hit
15667773000,42,noise,hit
15667777500,40,noise,hit
15667782000,5,attacker,hit
15667794000,60,noise,hit
15667796000,23,noise,hit
15667797000,6,attacker,hit
15667812000,7,attacker,hit
15667814500,40,noise,hit
15667827000,8,attacker,hit
15667842000,9,attacker,hit
15667857000,10,attacker,hit
15667872000,11,attacker,hit
15667872000,40,noise,hit
15667882500,49,noise,hit
15667887000,12,attacker,hit
15667890000,49,noise,hit
15667902000,40,noise,hit
15667902000,40,noise,hit
15667917000,14,attacker,hit
15667920500,28,noise,hit
15667920500,13,noise,hit
15667932000,15,attacker,hit
15667945000,12,noise,hit
15667946500,47,noise,hit
15667947000,16,attacker,hit
15667962000,17,attacker,hit
15667975500,40,noise,hit
15667976000,40,noise,hit
15667977000,41,noise,hit
15667977000,13,noise,hit
15667986000,40,noise,hit
15667992000,19,attacker,hit
15667996500,15,noise,hit
15668007000,20,attacker,hit
15668015000,40,noise,hit
15668016000,40,noise,hit
15668022000,40,noise,hit
15668025000,42,noise,hit
15668037000,22,attacker,hit
15668039000,48,noise,hit
15668052000,23,attacker,hit
15668067000,24,attacker,hit
15668073500,38,noise,hit
15668081500,50,noise,hit
15668082000,25,attacker,hit
15668097000,26,attacker,hit
15668097000,21,noise,hit
15668112000,27,attacker,hit
15668117500,40,noise,hit
15668127000,28,attacker,hit
15668127500,35,noise,hit
15668127500,49,noise,hit
15668142000,29,attacker,hit
15668157000,30,attacker,hit
15668172000,31,attacker,hit
15668184000,41,noise,hit
15668187000,41,noise,hit
15668187000,41,noise,hit
15668202000,33,attacker,hit
15668207000,40,noise,hit
15668209500,47,noise,hit
15668217000,34,attacker,hit
15668221500,40,noise,hit
15668232000,35,attacker,hit
15668247000,36,attacker,hit
15668248500,15,noise,hit
15668248500,31,noise,hit
15668262000,37,attacker,hit
15668277000,40,noise,hit
15668292000,39,attacker,hit
15668294500,15,noise,hit
15668294500,27,noise,hit
15668307000,40,attacker,hit
15668309500,58,noise,hit
15668322000,41,attacker,hit
15668325500,48,noise,hit
15668333500,48,noise,hit
15668337000,42,attacker,hit
15668352000,43,attacker,hit
15668367000,44,attacker,hit
15668371500,49,noise,hit
15668382000,45,attacker,hit
15668397000,46,attacker,hit
15668412000,47,attacker,hit
15668414000,41,noise,hit
15668415000,41,noise,hit
15668427000,48,attacker,hit
15668442000,49,attacker,hit
15668457000,50,attacker,hit
15668459500,28,noise,hit
15668472000,51,attacker,hit
15668477000,28,noise,hit
15668478500,2,noise,hit
15668487000,52,attacker,hit
15668492000,28,noise,hit
15668502000,53,attacker,hit
15668507000,29,noise,hit
15668517000,54,attacker,hit
15668522000,29,noise,hit
15668523500,5,noise,hit
15668532000,55,attacker,hit
15668537000,29,noise,hit
15668538500,6,noise,hit
15668547000,56,attacker,hit
15668552000,29,noise,hit
15668553500,7,noise,hit
15668562000,57,attacker,hit
15668577000,58,attacker,hit
15668592000,59,attacker,hit
15668597000,29,noise,hit
15668607000,60,attacker,hit
15668612000,29,noise,hit
15668613500,11,noise,hit
15668622000,61,attacker,hit
15668627000,30,noise,hit
15668628500,12,noise,hit
15668637000,62,attacker,hit
