time,set,attacker/noise,hit/miss
15668652000,63,attacker,hit
15735337000,5,noise,hit
15764841000,3,noise,hit
15795001000,0,attacker,hit
15795005000,1,attacker,hit
15795021000,60,noise,hit
15795022500,2,attacker,hit
15795029000,51,noise,hit
15795037500,3,attacker,hit
15795052500,4,attacker,hit
15795056000,40,noise,hit
15795060500,12,noise,hit
15795067500,25,noise,hit
15795082500,6,attacker,hit
15795084500,29,noise,hit
15795097500,7,attacker,hit
15795112500,8,attacker,hit
15795127500,9,attacker,hit
15795142500,10,attacker,hit
15795143000,40,noise,hit
15795147500,40,noise,hit
15795157500,11,attacker,hit
15795172500,12,attacker,hit
15795187500,13,attacker,hit
15795202500,14,attacker,hit
15795217000,40,noise,hit
15795217500,15,attacker,hit
15795232500,16,attacker,hit
15795247500,17,attacker,hit
15795248000,28,noise,hit
15795248000,22,noise,hit
15795262500,18,attacker,hit
15795277500,19,attacker,hit
15795280500,10,noise,hit
15795280500,40,noise,hit
15795292500,48,noise,hit
15795292500,28,noise,hit
15795303000,40,noise,hit
15795307500,21,attacker,hit
15795322500,22,attacker,hit
15795337500,40,noise,hit
15795352500,24,attacker,hit
15795367500,25,attacker,hit
15795380500,19,noise,hit
15795381000,30,noise,hit
15795382500,40,noise,hit
15795397500,27,attacker,hit
15795412500,28,attacker,hit
15795419500,43,noise,hit
15795427500,29,attacker,hit
15795442500,30,attacker,hit
15795449500,31,noise,hit
15795452500,52,noise,hit
15795457500,31,attacker,hit
15795472500,32,attacker,hit
15795476500,2,noise,hit
15795487500,33,attacker,hit
15795502500,34,attacker,hit
15795505500,6,noise,hit
15795517500,35,attacker,hit
15795522500,48,noise,hit
15795532500,37,noise,hit
15795547500,37,attacker,hit
15795551000,54,noise,hit
15795562500,38,attacker,hit
15795567000,25,noise,hit
15795575000,40,noise,hit
15795577500,39,attacker,hit
15795583000,11,noise,hit
15795583000,26,noise,hit
15795592500,40,attacker,hit
15795607500,41,attacker,hit
15795613000,40,noise,hit
15795621000,31,noise,hit
15795622500,42,attacker,hit
15795627500,21,noise,hit
15795627500,34,noise,hit
15795637500,43,attacker,hit
15795643000,48,noise,hit
15795643000,61,noise,hit
15795652500,44,attacker,hit
15795655500,41,noise,hit
15795667500,45,attacker,hit
15795676000,40,noise,hit
15795681000,41,noise,hit
15795682500,46,attacker,hit
15795696000,15,noise,hit
15795697500,28,noise,hit
15795697500,47,attacker,hit
15795698000,42,noise,hit
15795698500,0,noise,hit
15795712500,48,attacker,hit
15795727500,49,attacker,hit
15795733500,28,noise,hit
15795735000,3,noise,hit
15795742500,50,attacker,hit
15795748500,29,noise,hit
15795750000,4,noise,hit
15795757500,51,attacker,hit
15795763500,29,noise,hit
15795765000,5,noise,hit
15795772500,52,attacker,hit
15795778500,29,noise,hit
15795780000,6,noise,hit
15795787500,53,attacker,hit
15795793500,29,noise,hit
15795802500,54,attacker,hit
15795808500,29,noise,hit
15795810000,8,noise,hit
15795817500,55,attacker,hit
15795832500,56,attacker,hit
15795838500,29,noise,hit
15795840000,10,noise,hit
15795847500,57,attacker,hit
15795862500,58,attacker,hit
15795868500,30,noise,hit
15795877500,59,attacker,hit
15795883500,30,noise,hit
15795885000,13,noise,hit
15795892500,60,attacker,hit
15795907500,61,attacker,hit
15795922500,62,attacker,hit
