time,set,attacker/noise,hit/miss
16314195000,63,attacker,hit
16396299500,14,noise,hit
16439081500,0,attacker,hit
16439085500,40,noise,hit
16439100500,48,noise,hit
16439103000,2,attacker,hit
16439108500,28,noise,hit
16439118000,3,attacker,hit
16439123000,59,noise,hit
16439123000,44,noise,hit
16439133000,4,attacker,hit
16439138500,40,noise,hit
16439148000,5,attacker,hit
16439163000,6,attacker,hit
16439178000,7,attacker,hit
16439193000,8,attacker,hit
16439201500,49,noise,hit
16439208000,9,attacker,hit
16439221500,15,noise,hit
16439223000,28,noise,hit
16439223000,10,attacker,hit
16439223500,42,noise,hit
16439224000,0,noise,hit
16439238000,11,attacker,hit
16439244000,28,noise,hit
16439253000,12,attacker,hit
16439259000,28,noise,hit
16439268000,13,attacker,hit
16439274000,29,noise,hit
16439275500,4,noise,hit
16439283000,14,attacker,hit
16439298000,15,attacker,hit
16439304000,29,noise,hit
16439313000,16,attacker,hit
16439319000,29,noise,hit
16439328000,17,attacker,hit
16439334000,29,noise,hit
16439335500,8,noise,hit
16439343000,18,attacker,hit
16439349000,29,noise,hit
16439350500,9,noise,hit
16439358000,19,attacker,hit
16439373000,20,attacker,hit
16439379000,29,noise,hit
16439388000,21,attacker,hit
16439394000,30,noise,hit
16439395500,12,noise,hit
16439403000,22,attacker,hit
16439409000,30,noise,hit
16439418000,23,attacker,hit
16439424000,30,noise,hit
16439433000,24,attacker,hit
16439439000,30,noise,hit
16439440500,15,noise,hit
16439448000,25,attacker,hit
16439463000,26,attacker,hit
16439478000,27,attacker,hit
16439493000,28,attacker,hit
16439499000,30,noise,hit
16439508000,29,attacker,hit
16439514000,31,noise,hit
16439523000,30,attacker,hit
16439538000,31,attacker,hit
16439544000,31,noise,hit
16439545500,22,noise,hit
16439553000,32,attacker,hit
16439568000,33,attacker,hit
16439583000,34,attacker,hit
16439598000,35,attacker,hit
16439604000,31,noise,hit
16439605500,26,noise,hit
16439613000,36,attacker,hit
16439619000,31,noise,hit
16439620500,27,noise,hit
16439628000,37,attacker,hit
16439634000,32,noise,hit
16439635500,28,noise,hit
16439643000,38,attacker,hit
16439649000,32,noise,hit
16439658000,39,attacker,hit
16439664000,32,noise,hit
16439665500,30,noise,hit
16439673000,40,attacker,hit
16439679000,32,noise,hit
16439688000,41,attacker,hit
16439703000,42,attacker,hit
16439709000,32,noise,hit
16439710500,33,noise,hit
16439718000,43,attacker,hit
16439724000,32,noise,hit
16439733000,44,attacker,hit
16439739000,32,noise,hit
16439740500,35,noise,hit
16439748000,45,attacker,hit
16439754000,33,noise,hit
16439763000,46,attacker,hit
16439769000,33,noise,hit
16439770500,37,noise,hit
16439778000,47,attacker,hit
16439784000,33,noise,hit
16439785500,38,noise,hit
16439793000,48,attacker,hit
16439808000,49,attacker,hit
16439823000,50,attacker,hit
16439838000,51,attacker,hit
16439844000,33,noise,hit
16439845500,42,noise,hit
16439853000,52,attacker,hit
16439859000,33,noise,hit
16439868000,53,attacker,hit
16439874000,34,noise,hit
16439875500,44,noise,hit
16439883000,54,attacker,hit
16439889000,34,noise,hit
16439898000,55,attacker,hit
16439913000,56,attacker,hit
16439919000,34,noise,hit
16439928000,57,attacker,hit
16439934000,34,noise,hit
16439943000,58,attacker,hit
16439958000,59,attacker,hit
16439964000,34,noise,hit
16439965500,50,noise,hit
16439973000,60,attacker,hit
16439979000,34,noise,hit
16439988000,61,attacker,hit
16440003000,62,attacker,hit
