time,set,attacker/noise,hit/miss
16185974500,63,attacker,hit
16240862000,40,noise,hit
16313258500,0,attacker,hit
16313260000,51,noise,hit
16313262500,1,attacker,hit
16313272500,29,noise,hit
16313274000,10,noise,hit
16313280000,2,attacker,hit
16313295000,3,attacker,hit
16313310000,4,attacker,hit
16313317500,30,noise,hit
16313319000,13,noise,hit
16313325000,5,attacker,hit
16313340000,6,attacker,hit
16313347500,30,noise,hit
16313355000,7,attacker,hit
16313362500,30,noise,hit
16313364000,16,noise,hit
16313370000,8,attacker,hit
16313385000,9,attacker,hit
16313392500,30,noise,hit
16313400000,10,attacker,hit
16313415000,11,attacker,hit
16313430000,12,attacker,hit
16313437500,31,noise,hit
16313439000,21,noise,hit
16313445000,13,attacker,hit
16313460000,14,attacker,hit
16313475000,15,attacker,hit
16313482500,31,noise,hit
16313484000,24,noise,hit
16313490000,16,attacker,hit
16313497500,31,noise,hit
16313505000,17,attacker,hit
16313520000,18,attacker,hit
16313527500,31,noise,hit
16313529000,27,noise,hit
16313535000,19,attacker,hit
16313542500,32,noise,hit
16313550000,20,attacker,hit
16313557500,32,noise,hit
16313565000,21,attacker,hit
16313580000,22,attacker,hit
16313587500,32,noise,hit
16313595000,23,attacker,hit
16313602500,32,noise,hit
16313610000,24,attacker,hit
16313617500,32,noise,hit
16313625000,25,attacker,hit
16313632500,32,noise,hit
16313640000,26,attacker,hit
16313647500,32,noise,hit
16313655000,27,attacker,hit
16313662500,33,noise,hit
16313664000,36,noise,hit
16313670000,28,attacker,hit
16313677500,33,noise,hit
16313679000,37,noise,hit
16313685000,29,attacker,hit
16313700000,30,attacker,hit
16313707500,33,noise,hit
16313709000,39,noise,hit
16313715000,31,attacker,hit
16313722500,33,noise,hit
16313724000,40,noise,hit
16313730000,32,attacker,hit
16313745000,33,attacker,hit
16313752500,33,noise,hit
16313760000,34,attacker,hit
16313767500,33,noise,hit
16313769000,43,noise,hit
16313775000,35,attacker,hit
16313790000,36,attacker,hit
16313797500,34,noise,hit
16313805000,37,attacker,hit
16313812500,34,noise,hit
16313814000,46,noise,hit
16313820000,38,attacker,hit
16313835000,39,attacker,hit
16313842500,34,noise,hit
16313844000,48,noise,hit
16313850000,40,attacker,hit
16313857500,34,noise,hit
16313859000,49,noise,hit
16313865000,41,attacker,hit
16313880000,42,attacker,hit
16313887500,34,noise,hit
16313895000,43,attacker,hit
16313902500,35,noise,hit
16313904000,52,noise,hit
16313910000,44,attacker,hit
16313917500,35,noise,hit
16313919000,53,noise,hit
16313925000,45,attacker,hit
16313940000,46,attacker,hit
16313947500,35,noise,hit
16313949000,55,noise,hit
16313955000,47,attacker,hit
16313962500,35,noise,hit
16313964000,56,noise,hit
16313970000,48,attacker,hit
16313985000,49,attacker,hit
16314000000,50,attacker,hit
16314015000,51,attacker,hit
16314022500,36,noise,hit
16314030000,52,attacker,hit
16314037500,36,noise,hit
16314045000,53,attacker,hit
16314052500,36,noise,hit
16314060000,54,attacker,hit
16314075000,55,attacker,hit
16314090000,56,attacker,hit
16314104500,15,noise,hit
16314105000,15,noise,hit
16314120000,58,attacker,hit
16314135000,59,attacker,hit
16314150000,60,attacker,hit
16314165000,61,attacker,hit
16314180000,62,attacker,hit
