time,set,attacker/noise,hit/miss
16947073000,63,attacker,hit
17017716500,48,noise,hit
17070970000,0,attacker,hit
17070971000,52,noise,hit
17070974000,1,attacker,hit
17070983500,32,noise,hit
17070985000,34,noise,hit
17070991500,2,attacker,hit
17070998500,32,noise,hit
17071000000,35,noise,hit
17071006500,3,attacker,hit
17071021500,4,attacker,hit
17071028500,33,noise,hit
17071036500,5,attacker,hit
17071043500,33,noise,hit
17071045000,38,noise,hit
17071051500,6,attacker,hit
17071058500,33,noise,hit
17071066500,7,attacker,hit
17071081500,8,attacker,hit
17071088500,33,noise,hit
17071096500,9,attacker,hit
17071103500,33,noise,hit
17071105000,42,noise,hit
17071111500,10,attacker,hit
17071126500,11,attacker,hit
17071133500,34,noise,hit
17071141500,12,attacker,hit
17071148500,34,noise,hit
17071156500,13,attacker,hit
17071163500,34,noise,hit
17071171500,14,attacker,hit
17071178500,34,noise,hit
17071186500,15,attacker,hit
17071193500,34,noise,hit
17071201500,16,attacker,hit
17071208500,34,noise,hit
17071216500,17,attacker,hit
17071223500,34,noise,hit
17071231500,18,attacker,hit
17071246500,19,attacker,hit
17071253500,35,noise,hit
17071261500,20,attacker,hit
17071276500,21,attacker,hit
17071283500,35,noise,hit
17071285000,54,noise,hit
17071291500,22,attacker,hit
17071298500,35,noise,hit
17071300000,55,noise,hit
17071306500,23,attacker,hit
17071313500,35,noise,hit
17071321500,24,attacker,hit
17071328500,35,noise,hit
17071330000,57,noise,hit
17071336500,25,attacker,hit
17071343500,35,noise,hit
17071345000,58,noise,hit
17071351500,26,attacker,hit
17071358500,35,noise,hit
17071360000,59,noise,hit
17071366500,27,attacker,hit
17071373500,36,noise,hit
17071375000,60,noise,hit
17071381500,28,attacker,hit
17071388500,36,noise,hit
17071396500,29,attacker,hit
17071411500,30,attacker,hit
17071418500,36,noise,hit
17071420000,63,noise,hit
17071426500,31,attacker,hit
17071441500,32,attacker,hit
17071455500,15,noise,hit
17071455500,41,noise,hit
17071456500,33,attacker,hit
17071471500,34,attacker,hit
17071486500,35,attacker,hit
17071501500,36,attacker,hit
17071516500,37,attacker,hit
17071531500,38,attacker,hit
17071546500,39,attacker,hit
17071553500,16,noise,hit
17071553500,16,noise,hit
17071561500,40,attacker,hit
17071576500,41,attacker,hit
17071591500,42,attacker,hit
17071606500,43,attacker,hit
17071621500,44,attacker,hit
17071636500,45,attacker,hit
17071651500,46,attacker,hit
17071666500,47,attacker,hit
17071681500,48,attacker,hit
17071696500,49,attacker,hit
17071711500,50,attacker,hit
17071726500,51,attacker,hit
17071741500,52,attacker,hit
17071756500,53,attacker,hit
17071763500,16,noise,hit
17071771500,54,attacker,hit
17071772000,51,noise,hit
17071786500,55,attacker,hit
17071801500,56,attacker,hit
17071816500,57,attacker,hit
17071831500,58,attacker,hit
17071831500,51,noise,hit
17071846500,59,attacker,hit
17071861500,60,attacker,hit
17071876500,61,attacker,hit
17071891500,62,attacker,hit
