time,set,attacker/noise,hit/miss
15926732500,63,attacker,hit
15992797500,40,noise,hit
16047522500,40,noise,hit
16056894000,0,attacker,hit
16056898000,1,attacker,hit
16056898500,28,noise,hit
16056915500,2,attacker,hit
16056919500,28,noise,hit
16056930500,3,attacker,hit
16056945500,4,attacker,hit
16056949500,29,noise,hit
16056951000,4,noise,hit
16056960500,5,attacker,hit
16056975500,6,attacker,hit
16056990500,7,attacker,hit
16057005500,8,attacker,hit
16057020500,9,attacker,hit
16057024500,29,noise,hit
16057035500,10,attacker,hit
16057039500,29,noise,hit
16057050500,11,attacker,hit
16057065500,12,attacker,hit
16057069500,30,noise,hit
16057071000,12,noise,hit
16057080500,13,attacker,hit
16057084500,30,noise,hit
16057095500,14,attacker,hit
16057099500,30,noise,hit
16057101000,14,noise,hit
16057110500,15,attacker,hit
16057125500,16,attacker,hit
16057140500,17,attacker,hit
16057155500,18,attacker,hit
16057170500,19,attacker,hit
16057174500,30,noise,hit
16057176000,19,noise,hit
16057185500,20,attacker,hit
16057189500,31,noise,hit
16057191000,20,noise,hit
16057200500,21,attacker,hit
16057215500,22,attacker,hit
16057219500,31,noise,hit
16057221000,22,noise,hit
16057230500,23,attacker,hit
16057234500,31,noise,hit
16057236000,23,noise,hit
16057245500,24,attacker,hit
16057249500,31,noise,hit
16057260500,25,attacker,hit
16057275500,26,attacker,hit
16057279500,31,noise,hit
16057281000,26,noise,hit
16057290500,27,attacker,hit
16057294500,31,noise,hit
16057296000,27,noise,hit
16057305500,28,attacker,hit
16057309500,32,noise,hit
16057311000,28,noise,hit
16057320500,29,attacker,hit
16057335500,30,attacker,hit
16057350500,31,attacker,hit
16057354500,32,noise,hit
16057365500,32,attacker,hit
16057369500,32,noise,hit
16057380500,33,attacker,hit
16057384500,32,noise,hit
16057386000,33,noise,hit
16057395500,34,attacker,hit
16057410500,35,attacker,hit
16057425500,36,attacker,hit
16057429500,33,noise,hit
16057440500,37,attacker,hit
16057455500,38,attacker,hit
16057459500,33,noise,hit
16057470500,39,attacker,hit
16057474500,33,noise,hit
16057485500,40,attacker,hit
16057489500,33,noise,hit
16057500500,41,attacker,hit
16057504500,33,noise,hit
16057506000,41,noise,hit
16057515500,42,attacker,hit
16057519500,33,noise,hit
16057530500,43,attacker,hit
16057545500,44,attacker,hit
16057560500,45,attacker,hit
16057564500,34,noise,hit
16057566000,45,noise,hit
16057575500,46,attacker,hit
16057590500,47,attacker,hit
16057605500,48,attacker,hit
16057609500,34,noise,hit
16057620500,49,attacker,hit
16057635500,50,attacker,hit
16057639500,34,noise,hit
16057650500,51,attacker,hit
16057654500,34,noise,hit
16057656000,51,noise,hit
16057665500,52,attacker,hit
16057680500,53,attacker,hit
16057684500,35,noise,hit
16057686000,53,noise,hit
16057695500,54,attacker,hit
16057699500,35,noise,hit
16057701000,54,noise,hit
16057710500,55,attacker,hit
16057714500,35,noise,hit
16057716000,55,noise,hit
16057725500,56,attacker,hit
16057740500,57,attacker,hit
16057755500,58,attacker,hit
16057759500,35,noise,hit
16057770500,59,attacker,hit
16057785500,60,attacker,hit
16057789500,36,noise,hit
16057791000,60,noise,hit
16057800500,61,attacker,hit
16057804500,36,noise,hit
16057815500,62,attacker,hit
