time,set,attacker/noise,hit/miss
16566289000,63,attacker,hit
16660323000,51,noise,hit
16692311500,0,attacker,hit
16692315500,1,attacker,hit
16692321000,28,noise,hit
16692333000,2,attacker,hit
16692336000,28,noise,hit
16692348000,3,attacker,hit
16692351000,29,noise,hit
16692363000,4,attacker,hit
16692378000,5,attacker,hit
16692381000,29,noise,hit
16692382500,6,noise,hit
16692393000,6,attacker,hit
16692408000,7,attacker,hit
16692411000,29,noise,hit
16692412500,8,noise,hit
16692423000,8,attacker,hit
16692438000,9,attacker,hit
16692453000,10,attacker,hit
16692456000,29,noise,hit
16692457500,11,noise,hit
16692468000,11,attacker,hit
16692471000,30,noise,hit
16692483000,12,attacker,hit
16692498000,13,attacker,hit
16692513000,14,attacker,hit
16692528000,15,attacker,hit
16692531000,30,noise,hit
16692543000,16,attacker,hit
16692546000,30,noise,hit
16692558000,17,attacker,hit
16692561000,30,noise,hit
16692562500,18,noise,hit
16692573000,18,attacker,hit
16692588000,19,attacker,hit
16692591000,31,noise,hit
16692603000,20,attacker,hit
16692606000,31,noise,hit
16692618000,21,attacker,hit
16692633000,22,attacker,hit
16692636000,31,noise,hit
16692637500,23,noise,hit
16692648000,23,attacker,hit
16692651000,31,noise,hit
16692652500,24,noise,hit
16692663000,24,attacker,hit
16692666000,31,noise,hit
16692667500,25,noise,hit
16692678000,25,attacker,hit
16692681000,31,noise,hit
16692682500,26,noise,hit
16692693000,26,attacker,hit
16692708000,27,attacker,hit
16692711000,32,noise,hit
16692712500,28,noise,hit
16692723000,28,attacker,hit
16692726000,32,noise,hit
16692727500,29,noise,hit
16692738000,29,attacker,hit
16692753000,30,attacker,hit
16692756000,32,noise,hit
16692757500,31,noise,hit
16692768000,31,attacker,hit
16692783000,32,attacker,hit
16692798000,33,attacker,hit
16692801000,32,noise,hit
16692802500,34,noise,hit
16692813000,34,attacker,hit
16692816000,32,noise,hit
16692817500,35,noise,hit
16692828000,35,attacker,hit
16692831000,33,noise,hit
16692832500,36,noise,hit
16692843000,36,attacker,hit
16692846000,33,noise,hit
16692847500,37,noise,hit
16692858000,37,attacker,hit
16692861000,33,noise,hit
16692862500,38,noise,hit
16692873000,38,attacker,hit
16692888000,39,attacker,hit
16692903000,40,attacker,hit
16692918000,41,attacker,hit
16692933000,42,attacker,hit
16692936000,33,noise,hit
16692948000,43,attacker,hit
16692951000,34,noise,hit
16692952500,44,noise,hit
16692963000,44,attacker,hit
16692978000,45,attacker,hit
16692981000,34,noise,hit
16692982500,46,noise,hit
16692993000,46,attacker,hit
16692996000,34,noise,hit
16692997500,47,noise,hit
16693008000,47,attacker,hit
16693023000,48,attacker,hit
16693026000,34,noise,hit
16693038000,49,attacker,hit
16693041000,34,noise,hit
16693053000,50,attacker,hit
16693068000,51,attacker,hit
16693083000,52,attacker,hit
16693086000,35,noise,hit
16693087500,53,noise,hit
16693098000,53,attacker,hit
16693101000,35,noise,hit
16693113000,54,attacker,hit
16693116000,35,noise,hit
16693117500,55,noise,hit
16693128000,55,attacker,hit
16693131000,35,noise,hit
16693143000,56,attacker,hit
16693146000,35,noise,hit
16693158000,57,attacker,hit
16693161000,35,noise,hit
16693162500,58,noise,hit
16693173000,58,attacker,hit
16693176000,35,noise,hit
16693188000,59,attacker,hit
16693191000,36,noise,hit
16693192500,60,noise,hit
16693203000,60,attacker,hit
16693206000,36,noise,hit
16693218000,61,attacker,hit
16693233000,62,attacker,hit
