time,set,attacker/noise,hit/miss
16817420500,63,attacker,hit
16909040000,41,noise,hit
16932889500,5,noise,hit
16946136500,0,attacker,hit
16946140500,1,attacker,hit
16946143500,33,noise,hit
16946158000,2,attacker,hit
16946158500,33,noise,hit
16946173000,3,attacker,hit
16946188000,4,attacker,hit
16946188500,33,noise,hit
16946190000,40,noise,hit
16946203000,5,attacker,hit
16946203500,33,noise,hit
16946205000,41,noise,hit
16946218000,6,attacker,hit
16946218500,33,noise,hit
16946220000,42,noise,hit
16946233000,7,attacker,hit
16946233500,33,noise,hit
16946248000,8,attacker,hit
16946248500,34,noise,hit
16946263000,9,attacker,hit
16946263500,34,noise,hit
16946278000,10,attacker,hit
16946278500,34,noise,hit
16946280000,46,noise,hit
16946293000,11,attacker,hit
16946293500,34,noise,hit
16946295000,47,noise,hit
16946308000,12,attacker,hit
16946308500,34,noise,hit
16946310000,48,noise,hit
16946323000,13,attacker,hit
16946323500,34,noise,hit
16946325000,49,noise,hit
16946338000,14,attacker,hit
16946338500,34,noise,hit
16946340000,50,noise,hit
16946353000,15,attacker,hit
16946353500,34,noise,hit
16946368000,16,attacker,hit
16946383000,17,attacker,hit
16946383500,35,noise,hit
16946385000,53,noise,hit
16946398000,18,attacker,hit
16946413000,19,attacker,hit
16946413500,35,noise,hit
16946428000,20,attacker,hit
16946428500,35,noise,hit
16946443000,21,attacker,hit
16946443500,35,noise,hit
16946445000,57,noise,hit
16946458000,22,attacker,hit
16946458500,35,noise,hit
16946473000,23,attacker,hit
16946473500,35,noise,hit
16946488000,24,attacker,hit
16946488500,36,noise,hit
16946490000,60,noise,hit
16946503000,25,attacker,hit
16946503500,36,noise,hit
16946518000,26,attacker,hit
16946533000,27,attacker,hit
16946533500,36,noise,hit
16946548000,28,attacker,hit
16946563000,29,attacker,hit
16946578000,30,attacker,hit
16946585500,15,noise,hit
16946592000,15,noise,hit
16946593000,51,noise,hit
16946600500,17,noise,hit
16946608000,32,attacker,hit
16946623000,33,attacker,hit
16946638000,34,attacker,hit
16946642500,18,noise,hit
16946653000,35,attacker,hit
16946654500,51,noise,hit
16946666500,19,noise,hit
16946668000,36,attacker,hit
16946683000,37,attacker,hit
16946698000,19,noise,hit
16946713000,39,attacker,hit
16946716500,52,noise,hit
16946723000,52,noise,hit
16946728000,40,attacker,hit
16946730500,20,noise,hit
16946743000,21,noise,hit
16946758000,42,attacker,hit
16946759000,52,noise,hit
16946771500,21,noise,hit
16946773000,18,noise,hit
16946788000,44,attacker,hit
16946789000,18,noise,hit
16946803000,45,attacker,hit
16946809000,52,noise,hit
16946814500,52,noise,hit
16946818000,46,attacker,hit
16946822500,23,noise,hit
16946833000,47,attacker,hit
16946834000,19,noise,hit
16946848000,48,attacker,hit
16946850000,53,noise,hit
16946863000,49,attacker,hit
16946877000,12,noise,hit
16946877000,24,noise,hit
16946878000,15,noise,hit
16946891000,32,noise,hit
16946893000,51,attacker,hit
16946907500,32,noise,hit
16946908000,32,noise,hit
16946910000,32,noise,hit
16946923000,53,attacker,hit
16946938000,54,attacker,hit
16946944500,51,noise,hit
16946949000,51,noise,hit
16946953000,55,attacker,hit
16946958000,34,noise,hit
16946966500,34,noise,hit
16946968000,56,attacker,hit
16946983000,57,attacker,hit
16946988500,51,noise,hit
16946997000,35,noise,hit
16946998000,58,attacker,hit
16947000000,52,noise,hit
16947013000,59,attacker,hit
16947014000,35,noise,hit
16947028000,60,attacker,hit
16947031500,17,noise,hit
16947043000,61,attacker,hit
16947044000,36,noise,hit
16947054000,36,noise,hit
16947058000,62,attacker,hit
