time,set,attacker/noise,hit/miss
14745021000,63,attacker,hit
14822003500,40,noise,hit
14832963000,12,noise,hit
14877706000,0,attacker,hit
14877707500,55,noise,hit
14877707500,40,noise,hit
14877710000,1,attacker,hit
14877711500,14,noise,hit
14877726500,48,noise,hit
14877727500,37,noise,hit
14877727500,2,attacker,hit
14877742500,40,noise,hit
14877748000,40,noise,hit
14877757500,4,attacker,hit
14877772500,40,noise,hit
14877772500,5,attacker,hit
14877784500,40,noise,hit
14877787500,6,attacker,hit
14877802500,7,attacker,hit
14877817500,41,noise,hit
14877817500,8,attacker,hit
14877831500,13,noise,hit
14877832000,50,noise,hit
14877832500,9,attacker,hit
14877837500,40,noise,hit
14877847500,10,attacker,hit
14877852000,40,noise,hit
14877862500,11,attacker,hit
14877877500,12,attacker,hit
14877879000,17,noise,hit
14877879000,40,noise,hit
14877892500,13,attacker,hit
14877894500,60,noise,hit
14877905000,40,noise,hit
14877907500,14,attacker,hit
14877922500,15,attacker,hit
14877925000,17,noise,hit
14877925000,28,noise,hit
14877937500,16,attacker,hit
14877940000,63,noise,hit
14877940000,7,noise,hit
14877952500,17,attacker,hit
14877967500,18,attacker,hit
14877972000,20,noise,hit
14877982500,19,attacker,hit
14877986500,61,noise,hit
14877997500,20,attacker,hit
14878002000,0,noise,hit
14878012500,21,attacker,hit
14878027500,22,attacker,hit
14878042500,23,attacker,hit
14878044500,41,noise,hit
14878057500,24,attacker,hit
14878067000,13,noise,hit
14878070500,42,noise,hit
14878072500,25,attacker,hit
14878079000,41,noise,hit
14878083500,13,noise,hit
14878087500,47,noise,hit
14878087500,26,attacker,hit
14878093000,47,noise,hit
14878102500,27,attacker,hit
14878117500,58,noise,hit
14878118000,51,noise,hit
14878132500,29,attacker,hit
14878134000,61,noise,hit
14878147500,30,attacker,hit
14878162500,31,attacker,hit
14878164000,40,noise,hit
14878173500,63,noise,hit
14878177500,32,attacker,hit
14878180500,48,noise,hit
14878192500,41,noise,hit
14878207500,34,attacker,hit
14878208000,40,noise,hit
14878216000,40,noise,hit
14878222500,35,attacker,hit
14878224000,28,noise,hit
14878224000,20,noise,hit
14878237500,36,attacker,hit
14878241500,40,noise,hit
14878252500,37,attacker,hit
14878254000,34,noise,hit
14878262000,60,noise,hit
14878267500,38,attacker,hit
14878268500,11,noise,hit
14878282500,39,attacker,hit
14878297500,41,noise,hit
14878297500,41,noise,hit
14878299000,41,noise,hit
14878312500,41,attacker,hit
14878321000,14,noise,hit
14878326500,42,noise,hit
14878327500,42,attacker,hit
14878331500,12,noise,hit
14878335500,13,noise,hit
14878342500,43,attacker,hit
14878342500,17,noise,hit
14878357500,44,attacker,hit
14878363500,41,noise,hit
14878372500,47,noise,hit
14878379500,61,noise,hit
14878387500,46,attacker,hit
14878402500,47,attacker,hit
14878410000,41,noise,hit
14878417500,48,attacker,hit
14878425500,63,noise,hit
14878432500,49,attacker,hit
14878447500,50,attacker,hit
14878462500,51,attacker,hit
14878463500,40,noise,hit
14878476000,28,noise,hit
14878477500,52,attacker,hit
14878478500,21,noise,hit
14878492500,53,attacker,hit
14878498500,40,noise,hit
14878507500,54,attacker,hit
14878522500,55,attacker,hit
14878525500,10,noise,hit
14878537500,56,attacker,hit
14878552500,57,attacker,hit
14878567500,58,attacker,hit
14878582500,59,attacker,hit
14878597500,60,attacker,hit
14878612500,61,attacker,hit
14878627500,62,attacker,hit
