time,set,attacker/noise,hit/miss
15406922000,63,attacker,hit
15494797500,47,noise,hit
15504568000,41,noise,hit
15537994500,0,attacker,hit
15537998500,1,attacker,hit
15538016000,2,attacker,hit
15538031000,3,attacker,hit
15538031500,7,noise,hit
15538031500,49,noise,hit
15538046000,4,attacker,hit
15538050000,40,noise,hit
15538058500,7,noise,hit
15538061000,44,noise,hit
15538066500,40,noise,hit
15538067000,45,noise,hit
15538076000,49,noise,hit
15538083500,49,noise,hit
15538084500,12,noise,hit
15538091000,7,attacker,hit
15538091000,8,noise,hit
15538106000,41,noise,hit
15538121000,9,attacker,hit
15538126500,44,noise,hit
15538136000,10,attacker,hit
15538136000,41,noise,hit
15538151000,26,noise,hit
15538151000,47,noise,hit
15538166000,12,attacker,hit
15538181000,13,attacker,hit
15538193000,59,noise,hit
15538193000,47,noise,hit
15538196000,27,noise,hit
15538199000,47,noise,hit
15538206000,41,noise,hit
15538211000,15,attacker,hit
15538218500,58,noise,hit
15538223000,12,noise,hit
15538226000,16,attacker,hit
15538241000,17,attacker,hit
15538256000,18,attacker,hit
15538260000,40,noise,hit
15538271000,19,attacker,hit
15538271500,40,noise,hit
15538286000,20,attacker,hit
15538301000,21,attacker,hit
15538301500,40,noise,hit
15538313000,40,noise,hit
15538316000,22,attacker,hit
15538317500,40,noise,hit
15538328000,49,noise,hit
15538331000,23,attacker,hit
15538332500,17,noise,hit
15538346000,24,attacker,hit
15538346000,40,noise,hit
15538358500,30,noise,hit
15538361000,25,attacker,hit
15538366000,33,noise,hit
15538376000,25,noise,hit
15538381000,41,noise,hit
15538390500,12,noise,hit
15538391000,27,attacker,hit
15538403000,59,noise,hit
15538406000,28,attacker,hit
15538408500,40,noise,hit
15538421000,29,attacker,hit
15538425000,62,noise,hit
15538436000,30,attacker,hit
15538438500,2,noise,hit
15538450000,50,noise,hit
15538451000,31,attacker,hit
15538451000,47,noise,hit
15538466000,32,attacker,hit
15538481000,33,attacker,hit
15538496000,49,noise,hit
15538496000,34,attacker,hit
15538511000,35,attacker,hit
15538512000,40,noise,hit
15538526000,36,attacker,hit
15538526500,48,noise,hit
15538541000,37,attacker,hit
15538556000,38,attacker,hit
15538563000,40,noise,hit
15538565000,44,noise,hit
15538571000,39,attacker,hit
15538579500,38,noise,hit
15538586000,49,noise,hit
15538588500,3,noise,hit
15538601000,41,attacker,hit
15538610000,41,noise,hit
15538610500,30,noise,hit
15538616000,42,attacker,hit
15538623500,40,noise,hit
15538629500,52,noise,hit
15538631000,43,attacker,hit
15538646000,44,attacker,hit
15538652500,40,noise,hit
15538656000,47,noise,hit
15538661000,45,attacker,hit
15538674500,41,noise,hit
15538676000,46,attacker,hit
15538680500,39,noise,hit
15538691000,47,attacker,hit
15538694000,30,noise,hit
15538706000,48,attacker,hit
15538709500,58,noise,hit
15538709500,62,noise,hit
15538721000,49,attacker,hit
15538721000,41,noise,hit
15538727000,45,noise,hit
15538736000,50,attacker,hit
15538751000,51,attacker,hit
15538766000,52,attacker,hit
15538781000,53,attacker,hit
15538794000,59,noise,hit
15538796000,48,noise,hit
15538811000,55,attacker,hit
15538817000,60,noise,hit
15538826000,56,attacker,hit
15538831500,38,noise,hit
15538831500,23,noise,hit
15538841000,57,attacker,hit
15538847000,8,noise,hit
15538847000,52,noise,hit
15538856000,58,attacker,hit
15538859500,41,noise,hit
15538860500,41,noise,hit
15538871000,59,attacker,hit
15538886000,60,attacker,hit
15538899000,42,noise,hit
15538900000,15,noise,hit
15538901000,61,attacker,hit
15538901500,28,noise,hit
15538902000,42,noise,hit
15538916000,62,attacker,hit
