time,set,attacker/noise,hit/miss
14607991500,63,attacker,hit
14663596500,37,noise,hit
14723014500,48,noise,hit
14744084500,0,attacker,hit
14744088500,1,attacker,hit
14744088500,40,noise,hit
14744088500,42,noise,hit
14744090000,14,noise,hit
14744091000,41,noise,hit
14744106000,2,attacker,hit
14744107500,28,noise,hit
14744121000,3,attacker,hit
14744128500,28,noise,hit
14744136000,4,attacker,hit
14744143500,28,noise,hit
14744145000,3,noise,hit
14744151000,5,attacker,hit
14744166000,6,attacker,hit
14744173500,29,noise,hit
14744181000,7,attacker,hit
14744196000,8,attacker,hit
14744203500,29,noise,hit
14744211000,9,attacker,hit
14744218500,29,noise,hit
14744220000,8,noise,hit
14744226000,10,attacker,hit
14744233500,29,noise,hit
14744235000,9,noise,hit
14744241000,11,attacker,hit
14744248500,29,noise,hit
14744250000,10,noise,hit
14744256000,12,attacker,hit
14744271000,13,attacker,hit
14744278500,30,noise,hit
14744286000,14,attacker,hit
14744293500,30,noise,hit
14744295000,13,noise,hit
14744301000,15,attacker,hit
14744308500,30,noise,hit
14744316000,16,attacker,hit
14744331000,17,attacker,hit
14744338500,30,noise,hit
14744346000,18,attacker,hit
14744353500,30,noise,hit
14744355000,17,noise,hit
14744361000,19,attacker,hit
14744368500,30,noise,hit
14744370000,18,noise,hit
14744376000,20,attacker,hit
14744391000,21,attacker,hit
14744398500,31,noise,hit
14744400000,20,noise,hit
14744406000,22,attacker,hit
14744421000,23,attacker,hit
14744428500,31,noise,hit
14744436000,24,attacker,hit
14744443500,31,noise,hit
14744445000,23,noise,hit
14744451000,25,attacker,hit
14744458500,31,noise,hit
14744466000,26,attacker,hit
14744481000,27,attacker,hit
14744496000,28,attacker,hit
14744503500,31,noise,hit
14744505000,27,noise,hit
14744511000,29,attacker,hit
14744518500,32,noise,hit
14744526000,30,attacker,hit
14744541000,31,attacker,hit
14744556000,32,attacker,hit
14744571000,33,attacker,hit
14744586000,34,attacker,hit
14744601000,35,attacker,hit
14744608500,32,noise,hit
14744610000,34,noise,hit
14744616000,36,attacker,hit
14744623500,32,noise,hit
14744631000,37,attacker,hit
14744638500,33,noise,hit
14744640000,36,noise,hit
14744646000,38,attacker,hit
14744653500,33,noise,hit
14744661000,39,attacker,hit
14744668500,33,noise,hit
14744670000,38,noise,hit
14744676000,40,attacker,hit
14744683500,33,noise,hit
14744685000,39,noise,hit
14744691000,41,attacker,hit
14744698500,33,noise,hit
14744700000,40,noise,hit
14744706000,42,attacker,hit
14744713500,33,noise,hit
14744715000,41,noise,hit
14744721000,43,attacker,hit
14744736000,44,attacker,hit
14744743500,33,noise,hit
14744751000,45,attacker,hit
14744766000,46,attacker,hit
14744773500,34,noise,hit
14744781000,47,attacker,hit
14744788500,34,noise,hit
14744796000,48,attacker,hit
14744803500,34,noise,hit
14744811000,49,attacker,hit
14744818500,34,noise,hit
14744826000,50,attacker,hit
14744833500,34,noise,hit
14744835000,49,noise,hit
14744841000,51,attacker,hit
14744848500,34,noise,hit
14744856000,52,attacker,hit
14744871000,53,attacker,hit
14744878500,35,noise,hit
14744886000,54,attacker,hit
14744901000,55,attacker,hit
14744908500,35,noise,hit
14744910000,54,noise,hit
14744916000,56,attacker,hit
14744931000,57,attacker,hit
14744946000,58,attacker,hit
14744953500,35,noise,hit
14744961000,59,attacker,hit
14744968500,35,noise,hit
14744970000,58,noise,hit
14744976000,60,attacker,hit
14744983500,35,noise,hit
14744985000,59,noise,hit
14744991000,61,attacker,hit
14744998500,36,noise,hit
14745006000,62,attacker,hit
