time,set,attacker/noise,hit/miss
15795937500,63,attacker,hit
15925796000,0,attacker,hit
15925800000,1,attacker,hit
15925805000,40,noise,hit
15925817500,2,attacker,hit
15925832500,3,attacker,hit
15925847500,41,noise,hit
15925854500,40,noise,hit
15925860500,32,noise,hit
15925862500,5,attacker,hit
15925876500,40,noise,hit
15925877500,6,attacker,hit
15925892500,7,attacker,hit
15925907500,8,attacker,hit
15925911000,28,noise,hit
15925922500,9,attacker,hit
15925937500,10,attacker,hit
15925944000,50,noise,hit
15925952500,31,noise,hit
15925955500,29,noise,hit
15925962500,48,noise,hit
15925967500,12,attacker,hit
15925971000,40,noise,hit
15925975500,10,noise,hit
15925982500,40,noise,hit
15925982500,26,noise,hit
15925997500,14,attacker,hit
15925999500,37,noise,hit
15926012500,15,attacker,hit
15926012500,40,noise,hit
15926027500,16,attacker,hit
15926028500,40,noise,hit
15926039000,49,noise,hit
15926042500,17,attacker,hit
15926043500,15,noise,hit
15926054000,6,noise,hit
15926057500,18,attacker,hit
15926058000,40,noise,hit
15926072500,19,attacker,hit
15926077000,61,noise,hit
15926087500,20,attacker,hit
15926092000,41,noise,hit
15926101500,12,noise,hit
15926102500,21,attacker,hit
15926114000,6,noise,hit
15926115000,41,noise,hit
15926117500,22,attacker,hit
15926126000,40,noise,hit
15926132000,40,noise,hit
15926132500,23,attacker,hit
15926139500,40,noise,hit
15926140000,41,noise,hit
15926147500,24,attacker,hit
15926149500,57,noise,hit
15926161000,47,noise,hit
15926162500,25,attacker,hit
15926163000,47,noise,hit
15926177500,26,attacker,hit
15926181500,35,noise,hit
15926186000,44,noise,hit
15926192500,27,attacker,hit
15926195500,6,noise,hit
15926207500,48,noise,hit
15926207500,28,attacker,hit
15926222500,29,attacker,hit
15926237500,42,noise,hit
15926252500,31,attacker,hit
15926267500,32,attacker,hit
15926274000,40,noise,hit
15926282500,33,attacker,hit
15926297500,34,attacker,hit
15926312500,35,attacker,hit
15926321000,41,noise,hit
15926321500,44,noise,hit
15926327500,36,attacker,hit
15926334500,40,noise,hit
15926340500,6,noise,hit
15926342500,37,attacker,hit
15926343500,41,noise,hit
15926357500,38,attacker,hit
15926359000,15,noise,hit
15926365500,1,noise,hit
15926372500,39,attacker,hit
15926381500,28,noise,hit
15926383000,2,noise,hit
15926387500,40,attacker,hit
15926402500,41,attacker,hit
15926411500,29,noise,hit
15926417500,42,attacker,hit
15926432500,43,attacker,hit
15926441500,29,noise,hit
15926447500,44,attacker,hit
15926462500,45,attacker,hit
15926471500,29,noise,hit
15926477500,46,attacker,hit
15926492500,47,attacker,hit
15926501500,29,noise,hit
15926507500,48,attacker,hit
15926516500,29,noise,hit
15926522500,49,attacker,hit
15926531500,30,noise,hit
15926537500,50,attacker,hit
15926546500,30,noise,hit
15926552500,51,attacker,hit
15926561500,30,noise,hit
15926567500,52,attacker,hit
15926576500,30,noise,hit
15926578000,15,noise,hit
15926582500,53,attacker,hit
15926591500,30,noise,hit
15926593000,16,noise,hit
15926597500,54,attacker,hit
15926612500,55,attacker,hit
15926621500,30,noise,hit
15926623000,18,noise,hit
15926627500,56,attacker,hit
15926636500,30,noise,hit
15926642500,57,attacker,hit
15926657500,58,attacker,hit
15926666500,31,noise,hit
15926672500,59,attacker,hit
15926681500,31,noise,hit
15926687500,60,attacker,hit
15926696500,31,noise,hit
15926698000,23,noise,hit
15926702500,61,attacker,hit
15926711500,31,noise,hit
15926713000,24,noise,hit
15926717500,62,attacker,hit
