time,set,attacker/noise,hit/miss
15010540000,63,attacker,hit
15087785000,49,noise,hit
15144865000,0,attacker,hit
15144866500,47,noise,hit
15144866500,57,noise,hit
15144869000,1,attacker,hit
15144872500,47,noise,hit
15144879500,41,noise,hit
15144886500,2,attacker,hit
15144892000,47,noise,hit
15144901500,3,attacker,hit
15144913000,2,noise,hit
15144915000,11,noise,hit
15144916500,4,attacker,hit
15144931500,5,attacker,hit
15144946500,6,attacker,hit
15144948000,55,noise,hit
15144948000,40,noise,hit
15144961500,7,attacker,hit
15144965500,60,noise,hit
15144972000,52,noise,hit
15144976500,8,attacker,hit
15144979000,40,noise,hit
15144984000,26,noise,hit
15144991500,9,attacker,hit
15144992000,40,noise,hit
15145006500,10,attacker,hit
15145010000,24,noise,hit
15145017000,41,noise,hit
15145021500,11,attacker,hit
15145031500,41,noise,hit
15145036500,12,attacker,hit
15145039500,13,noise,hit
15145051000,2,noise,hit
15145051500,13,noise,hit
15145065500,12,noise,hit
15145066500,12,noise,hit
15145077500,41,noise,hit
15145081500,15,attacker,hit
15145096500,16,attacker,hit
15145098500,26,noise,hit
15145102000,39,noise,hit
15145111500,17,attacker,hit
15145115500,27,noise,hit
15145123000,8,noise,hit
15145126500,18,attacker,hit
15145131000,62,noise,hit
15145131000,54,noise,hit
15145141500,19,attacker,hit
15145148500,46,noise,hit
15145156500,20,attacker,hit
15145158000,48,noise,hit
15145170000,23,noise,hit
15145171500,21,attacker,hit
15145171500,13,noise,hit
15145185500,40,noise,hit
15145186500,22,attacker,hit
15145201500,23,attacker,hit
15145216500,24,attacker,hit
15145216500,48,noise,hit
15145231500,25,attacker,hit
15145238500,45,noise,hit
15145244000,40,noise,hit
15145246500,57,noise,hit
15145261500,27,attacker,hit
15145262000,49,noise,hit
15145276500,28,attacker,hit
15145277000,40,noise,hit
15145291500,29,attacker,hit
15145301500,49,noise,hit
15145306500,30,attacker,hit
15145315000,12,noise,hit
15145321000,41,noise,hit
15145321500,31,attacker,hit
15145326000,47,noise,hit
15145336500,32,attacker,hit
15145340500,40,noise,hit
15145351500,33,attacker,hit
15145366500,34,attacker,hit
15145367500,9,noise,hit
15145367500,27,noise,hit
15145381500,35,attacker,hit
15145385500,40,noise,hit
15145396500,36,attacker,hit
15145400000,48,noise,hit
15145402500,1,noise,hit
15145411500,37,attacker,hit
15145426500,38,attacker,hit
15145428500,62,noise,hit
15145428500,6,noise,hit
15145441500,39,attacker,hit
15145444500,34,noise,hit
15145456500,40,attacker,hit
15145460500,48,noise,hit
15145471500,41,attacker,hit
15145486500,42,attacker,hit
15145490500,49,noise,hit
15145501500,43,attacker,hit
15145505000,12,noise,hit
15145505000,34,noise,hit
15145516500,44,attacker,hit
15145520500,45,noise,hit
15145531500,45,attacker,hit
15145533000,41,noise,hit
15145546500,46,attacker,hit
15145561500,47,attacker,hit
15145576000,61,noise,hit
15145576500,48,attacker,hit
15145576500,47,noise,hit
15145581500,41,noise,hit
15145591500,49,attacker,hit
15145592500,40,noise,hit
15145602500,26,noise,hit
15145606500,40,noise,hit
15145606500,50,attacker,hit
15145607500,34,noise,hit
15145621500,51,attacker,hit
15145622500,47,noise,hit
15145636500,52,attacker,hit
15145637000,40,noise,hit
15145637500,40,noise,hit
15145651500,53,attacker,hit
15145652500,46,noise,hit
15145666500,54,attacker,hit
15145681500,55,attacker,hit
15145681500,48,noise,hit
15145694500,53,noise,hit
15145696500,40,noise,hit
15145696500,48,noise,hit
15145704500,40,noise,hit
15145711500,57,attacker,hit
15145712500,48,noise,hit
15145726500,58,attacker,hit
15145730000,40,noise,hit
15145735000,40,noise,hit
15145741500,59,attacker,hit
15145742500,40,noise,hit
15145756500,60,attacker,hit
15145771500,61,attacker,hit
15145786500,62,attacker,hit
