time,set,attacker/noise,hit/miss
15145801500,63,attacker,hit
15270942500,49,noise,hit
15276604500,0,attacker,hit
15276605000,19,noise,hit
15276608000,26,noise,hit
15276608500,1,attacker,hit
15276609500,20,noise,hit
15276626000,2,attacker,hit
15276641000,3,attacker,hit
15276656000,4,attacker,hit
15276671000,5,attacker,hit
15276686000,6,attacker,hit
15276691000,10,noise,hit
15276691000,37,noise,hit
15276701000,7,attacker,hit
15276706500,60,noise,hit
15276706500,41,noise,hit
15276716000,8,attacker,hit
15276719000,41,noise,hit
15276731000,9,attacker,hit
15276742000,40,noise,hit
15276745000,42,noise,hit
15276746000,10,attacker,hit
15276753500,13,noise,hit
15276761000,11,attacker,hit
15276776000,12,attacker,hit
15276778500,40,noise,hit
15276778500,40,noise,hit
15276791000,13,attacker,hit
15276792500,40,noise,hit
15276802000,40,noise,hit
15276806000,14,attacker,hit
15276814000,18,noise,hit
15276821000,47,noise,hit
15276823500,40,noise,hit
15276836000,16,attacker,hit
15276851000,17,attacker,hit
15276866000,18,attacker,hit
15276869000,40,noise,hit
15276875500,40,noise,hit
15276881000,19,attacker,hit
15276882500,40,noise,hit
15276896000,20,attacker,hit
15276911000,21,attacker,hit
15276926000,22,attacker,hit
15276928500,49,noise,hit
15276941000,23,attacker,hit
15276943000,10,noise,hit
15276943000,37,noise,hit
15276956000,24,attacker,hit
15276958500,60,noise,hit
15276958500,41,noise,hit
15276971000,25,attacker,hit
15276971000,41,noise,hit
15276972000,41,noise,hit
15276986000,26,attacker,hit
15276994000,40,noise,hit
15276999000,14,noise,hit
15277001000,27,attacker,hit
15277016000,40,noise,hit
15277016000,47,noise,hit
15277017000,30,noise,hit
15277031000,29,attacker,hit
15277037000,40,noise,hit
15277046000,30,attacker,hit
15277061000,31,attacker,hit
15277076000,40,noise,hit
15277091000,33,attacker,hit
15277100000,39,noise,hit
15277106000,34,attacker,hit
15277107000,3,noise,hit
15277121000,35,attacker,hit
15277132500,43,noise,hit
15277136000,36,attacker,hit
15277151000,59,noise,hit
15277151000,37,attacker,hit
15277166000,38,attacker,hit
15277181000,39,attacker,hit
15277196000,40,attacker,hit
15277211000,41,noise,hit
15277226000,42,attacker,hit
15277226000,45,noise,hit
15277241000,43,attacker,hit
15277256000,44,attacker,hit
15277263500,15,noise,hit
15277268500,28,noise,hit
15277271000,45,attacker,hit
15277286000,46,attacker,hit
15277287500,2,noise,hit
15277288500,51,noise,hit
15277301000,28,noise,hit
15277302500,3,noise,hit
15277303500,51,noise,hit
15277316000,48,attacker,hit
15277317500,4,noise,hit
15277318500,51,noise,hit
15277331000,29,noise,hit
15277346000,50,attacker,hit
15277361000,51,attacker,hit
15277362500,7,noise,hit
15277376000,29,noise,hit
15277377500,8,noise,hit
15277378500,51,noise,hit
15277391000,53,attacker,hit
15277392500,9,noise,hit
15277406000,29,noise,hit
15277421000,55,attacker,hit
15277422500,11,noise,hit
15277436000,56,attacker,hit
15277451000,30,noise,hit
15277452500,13,noise,hit
15277466000,58,attacker,hit
15277467500,14,noise,hit
15277481000,59,attacker,hit
15277482500,15,noise,hit
15277483500,51,noise,hit
15277496000,60,attacker,hit
15277511000,61,attacker,hit
15277526000,30,noise,hit
