time,set,attacker/noise,hit/miss
16057830500,63,attacker,hit
16083549500,40,noise,hit
16140473500,41,noise,hit
16185038000,0,attacker,hit
16185041000,32,noise,hit
16185042000,1,attacker,hit
16185043500,52,noise,hit
16185059500,2,attacker,hit
16185071000,32,noise,hit
16185072500,32,noise,hit
16185074500,3,attacker,hit
16185086000,32,noise,hit
16185089500,4,attacker,hit
16185101000,32,noise,hit
16185102500,34,noise,hit
16185104500,5,attacker,hit
16185116000,32,noise,hit
16185117500,35,noise,hit
16185119500,6,attacker,hit
16185131000,33,noise,hit
16185134500,7,attacker,hit
16185146000,33,noise,hit
16185147500,37,noise,hit
16185149500,8,attacker,hit
16185161000,33,noise,hit
16185162500,38,noise,hit
16185164500,9,attacker,hit
16185179500,10,attacker,hit
16185194500,11,attacker,hit
16185206000,33,noise,hit
16185209500,12,attacker,hit
16185221000,33,noise,hit
16185222500,42,noise,hit
16185224500,13,attacker,hit
16185239500,14,attacker,hit
16185254500,15,attacker,hit
16185266000,34,noise,hit
16185267500,45,noise,hit
16185269500,16,attacker,hit
16185281000,34,noise,hit
16185284500,17,attacker,hit
16185296000,34,noise,hit
16185299500,18,attacker,hit
16185311000,34,noise,hit
16185314500,19,attacker,hit
16185329500,20,attacker,hit
16185344500,21,attacker,hit
16185356000,34,noise,hit
16185357500,51,noise,hit
16185359500,22,attacker,hit
16185371000,35,noise,hit
16185374500,23,attacker,hit
16185389500,24,attacker,hit
16185401000,35,noise,hit
16185402500,54,noise,hit
16185404500,25,attacker,hit
16185419500,26,attacker,hit
16185434500,27,attacker,hit
16185449500,28,attacker,hit
16185461000,35,noise,hit
16185462500,58,noise,hit
16185464500,29,attacker,hit
16185479500,30,attacker,hit
16185491000,36,noise,hit
16185492500,60,noise,hit
16185494500,31,attacker,hit
16185506000,36,noise,hit
16185509500,32,attacker,hit
16185524500,33,attacker,hit
16185536000,36,noise,hit
16185537500,63,noise,hit
16185539500,34,attacker,hit
16185554500,35,attacker,hit
16185569000,42,noise,hit
16185569000,42,noise,hit
16185569500,36,attacker,hit
16185584500,37,attacker,hit
16185599500,38,attacker,hit
16185614500,39,attacker,hit
16185620500,51,noise,hit
16185628000,17,noise,hit
16185629500,40,attacker,hit
16185632000,16,noise,hit
16185644500,41,attacker,hit
16185659500,18,noise,hit
16185674500,43,attacker,hit
16185679000,19,noise,hit
16185682000,51,noise,hit
16185689500,52,noise,hit
16185689500,44,attacker,hit
16185704500,45,attacker,hit
16185719500,46,attacker,hit
16185723500,20,noise,hit
16185734500,20,noise,hit
16185735000,20,noise,hit
16185749500,48,attacker,hit
16185754000,21,noise,hit
16185764500,49,attacker,hit
16185765500,18,noise,hit
16185778000,52,noise,hit
16185779500,50,attacker,hit
16185789000,52,noise,hit
16185794500,51,attacker,hit
16185798000,22,noise,hit
16185809500,22,noise,hit
16185824500,53,attacker,hit
16185829500,18,noise,hit
16185839500,54,attacker,hit
16185841000,23,noise,hit
16185854500,55,attacker,hit
16185869500,56,attacker,hit
16185884500,57,attacker,hit
16185899500,58,attacker,hit
16185903500,32,noise,hit
16185912500,32,noise,hit
16185914500,59,attacker,hit
16185915000,51,noise,hit
16185929500,60,attacker,hit
16185933500,33,noise,hit
16185937000,33,noise,hit
16185944500,61,attacker,hit
16185951500,16,noise,hit
16185959500,62,attacker,hit
