start,end,accuracy,tag
52183961.66173911,78570511.56873715,0.8571428571428571,accuracy
58358620.708982885,79028589.46357773,0.9166666666666666,accuracy
61417401.436775364,79688954.27982062,0.8333333333333334,accuracy
63249148.13613349,78354689.71769738,0.6666666666666666,accuracy
65718763.12436149,79358208.21340282,0.5833333333333334,accuracy
60734227.263042666,76087136.62543902,0.75,accuracy
66622716.399299294,83639881.68961473,0.4375,accuracy
59705842.63679108,78334390.0196827,0.8333333333333334,accuracy
56869161.19290273,75117122.33079433,0.7857142857142857,accuracy
57861522.81939689,86128731.81253181,0.7058823529411765,accuracy
55850712.612177126,78598776.3500784,0.8571428571428571,accuracy
61148404.735493094,79564234.59633768,0.8333333333333334,accuracy
58927834.85533439,80609785.97261238,0.8333333333333334,accuracy
61328996.36842185,78164737.00724405,0.8333333333333334,accuracy
61987219.23205017,84952561.04884887,0.625,accuracy
63244552.241209045,83217969.50329919,0.6,accuracy
52138813.40076355,82191270.26987685,0.8571428571428571,accuracy
57602746.894098856,80600681.27320638,0.8461538461538461,accuracy
55894618.84022383,77030588.32157803,0.7857142857142857,accuracy
52461571.92349449,85263416.85162623,0.6666666666666666,accuracy
62260684.571679324,83522013.47937699,0.5625,accuracy
59881421.96191573,72941953.32346599,0.6666666666666666,accuracy
58266489.384186506,79539101.04247272,0.9166666666666666,accuracy
58924156.99085856,89906434.21582684,0.6875,accuracy
56867512.19549363,87836405.55096063,0.6666666666666666,accuracy
57972636.98263421,84598198.57004623,0.75,accuracy
56230338.85609842,86177750.4115719,0.6666666666666666,accuracy
56440675.11766909,81065662.58613329,0.8571428571428571,accuracy
61121256.6803913,81154987.82804708,0.9166666666666666,accuracy
57811910.29089547,81148627.64326055,0.9230769230769231,accuracy
63600420.955165796,82624761.76578708,0.6428571428571429,accuracy
63954033.28933889,84121372.27510838,0.5625,accuracy
64458977.18798168,79782866.45940791,0.5833333333333334,accuracy
58494901.56271923,69562075.01054347,0.5833333333333334,accuracy
48920786.87991917,86825545.78771912,0.6666666666666666,accuracy
58964669.123216525,80991037.71259093,0.9166666666666666,accuracy
60092344.422404796,84292593.35813479,0.6875,accuracy
52922820.216321744,81214509.3134058,0.8571428571428571,accuracy
59576219.57980617,80550405.80139233,0.8333333333333334,accuracy
65110814.29760203,73763800.39191845,0.4166666666666667,accuracy
60472366.7512649,84062706.98796289,0.6875,accuracy
64598100.629431725,80533127.98560762,0.5833333333333334,accuracy
57059639.632038586,79790700.86268884,0.7857142857142857,accuracy
57759811.00905028,82415540.53485294,0.8571428571428571,accuracy
57715806.556037515,75296896.01793039,0.7692307692307693,accuracy
57508436.84852226,82340582.78797053,0.8571428571428571,accuracy
64897749.75598051,82537128.357357,0.6153846153846154,accuracy
56547065.81813456,83148209.96362832,0.7058823529411765,accuracy
60057287.42812614,83170958.20640455,0.7333333333333333,accuracy
62694086.525364846,74850159.08146918,0.5833333333333334,accuracy
