start,end,accuracy,tag
50277989.80850068,81351350.22909345,0.8571428571428571,accuracy
66204725.82947566,72088582.19093186,0.25,accuracy
55451022.19139986,73583882.9851023,0.7142857142857143,accuracy
58120895.04313217,88043126.23381916,0.75,accuracy
46995349.892411344,86665435.11334619,0.6666666666666666,accuracy
51368477.73388053,71168035.29353425,0.5714285714285714,accuracy
59399042.855806194,85594152.33928263,0.6875,accuracy
62010463.92885801,86378934.06636131,0.625,accuracy
67606839.323863,72169092.24340254,0.16666666666666666,accuracy
57797401.01848302,72382336.23279336,0.5384615384615384,accuracy
69222308.9508892,107458472.05103081,0.375,accuracy
49508021.2170998,85230078.32128595,0.6666666666666666,accuracy
62150816.673427545,81020923.26295993,0.8333333333333334,accuracy
65904890.301211126,96689697.88568202,0.5,accuracy
60339936.063114315,70143416.22588368,0.5,accuracy
70891108.32243173,75269288.59246635,0.25,accuracy
52502742.957178734,87834138.53469326,0.6666666666666666,accuracy
66420873.7191098,82746656.05606596,0.5,accuracy
75286607.01948637,76721445.41517235,0.0,accuracy
60544759.95825705,93003454.93030189,0.6875,accuracy
58007183.35487458,108909997.95839405,0.75,accuracy
76457992.43240905,82377706.7939407,0.15384615384615385,accuracy
72305467.92842624,81296181.83552872,0.4166666666666667,accuracy
79091016.10256976,84868685.52096386,0.0625,accuracy
50041444.97331773,86121656.79892407,0.6666666666666666,accuracy
56724903.80004637,75740037.0614159,0.7857142857142857,accuracy
57500467.33086717,80545562.35647438,0.8461538461538461,accuracy
69886111.98824695,84346366.27203375,0.3125,accuracy
63409603.20449285,90968637.1611614,0.5625,accuracy
68245344.64571457,82928508.64630714,0.42857142857142855,accuracy
62319410.680458404,90225017.46391968,0.5625,accuracy
55693502.85061222,67587374.8818196,0.5714285714285714,accuracy
67852804.45365354,91286199.61698262,0.4375,accuracy
50131651.47244984,91704133.46701953,0.6666666666666666,accuracy
74277954.88582294,82978755.01632093,0.21428571428571427,accuracy
68873636.55291697,95134850.62096411,0.375,accuracy
53395265.2041682,90366565.27568954,0.6666666666666666,accuracy
58879156.69901561,80571133.4303523,0.8333333333333334,accuracy
64548204.15231049,70658053.7762333,0.25,accuracy
56001994.19995268,73557795.99024676,0.7142857142857143,accuracy
45497175.13488559,88027077.45371127,0.6666666666666666,accuracy
75368485.08136085,74531646.81472851,0.0,accuracy
54775197.555239916,81857165.60225165,0.8571428571428571,accuracy
57188564.58620889,88261063.65673068,0.6666666666666666,accuracy
52667501.89720689,79640654.01281019,0.8571428571428571,accuracy
57779765.11055821,81178580.44016665,0.9230769230769231,accuracy
57478425.87765707,76060315.18534212,0.7692307692307693,accuracy
54854458.51838333,68897470.37923525,0.5714285714285714,accuracy
56853437.836710036,97341932.22766848,0.6666666666666666,accuracy
76213144.93709978,80674341.82353774,0.08333333333333333,accuracy
