start,end,accuracy,tag
59147662.49004913,80715379.40541023,0.8333333333333334,accuracy
58751974.27369679,80786445.77224943,1.0,accuracy
58933360.48070761,80765161.10158671,0.8333333333333334,accuracy
58897578.75923198,80951999.20722978,0.9166666666666666,accuracy
58710339.14246376,80814125.97238022,1.0,accuracy
58924004.28534907,80917913.13537176,0.9166666666666666,accuracy
58628147.760963,80845737.18738201,1.0,accuracy
58723503.10105645,80986344.41525593,1.0,accuracy
58996185.26128979,80582520.49623217,0.8333333333333334,accuracy
58780336.85096946,80767559.21127392,0.9166666666666666,accuracy
58876841.56612423,80714633.41313826,0.8333333333333334,accuracy
58741534.180373475,80723800.10947205,0.9166666666666666,accuracy
58767697.60883867,80879210.44391453,1.0,accuracy
58847532.959055796,80831041.08433233,0.9166666666666666,accuracy
58931478.97540475,80881562.19577582,0.9166666666666666,accuracy
58696390.06108371,80565185.90756194,0.9166666666666666,accuracy
58653834.061268,80797649.58549164,1.0,accuracy
59079113.05982182,80825497.99438635,0.9166666666666666,accuracy
58982905.23773689,80826709.97111186,0.9166666666666666,accuracy
58998186.51701686,80756728.19403085,0.8333333333333334,accuracy
58856785.96270639,80682300.84194463,0.8333333333333334,accuracy
58873684.19210873,80896003.84632118,0.9166666666666666,accuracy
58854180.27366884,80786179.07127528,0.9166666666666666,accuracy
58917315.5284153,80837650.79133624,0.9166666666666666,accuracy
58797065.00537456,80975851.89624332,1.0,accuracy
58691058.76539894,80689069.10520217,0.9166666666666666,accuracy
58747080.90588373,80796811.97812232,1.0,accuracy
58570471.269557625,80707479.04055853,0.9166666666666666,accuracy
58817563.86012151,80913228.93169829,1.0,accuracy
58928104.06973646,80803986.05346322,0.9166666666666666,accuracy
58899908.27212869,80748182.32503702,0.8333333333333334,accuracy
58703945.132851884,80570767.05059434,0.9166666666666666,accuracy
58738365.764914826,80873531.00262468,1.0,accuracy
58883869.09770911,80732258.80059634,0.8333333333333334,accuracy
58741557.24450993,80674298.72232908,0.9166666666666666,accuracy
58753927.40754724,80806123.89089999,1.0,accuracy
58832303.20176225,80750789.88414267,0.8333333333333334,accuracy
58905335.86488428,80784520.77136305,0.8333333333333334,accuracy
58648600.82043999,80773132.264073,0.9166666666666666,accuracy
58909725.3744516,80673254.55278324,0.8333333333333334,accuracy
58631663.67610565,80670064.40072793,0.9166666666666666,accuracy
58840359.10513137,80664918.34379658,0.8333333333333334,accuracy
58883091.11877691,80805529.78522794,0.9166666666666666,accuracy
58789470.042237975,80788112.17976208,1.0,accuracy
58772168.7951932,80800957.41875748,1.0,accuracy
58790021.163080335,80860754.59163736,1.0,accuracy
58851921.182764776,80789121.39994971,0.9166666666666666,accuracy
58866727.73255355,80676484.29622161,0.8333333333333334,accuracy
58884551.61260515,80803702.11338815,0.9166666666666666,accuracy
58801720.61088801,80787700.57428132,1.0,accuracy
