noise level,success rate
1,[0.25
0.4375
0.3125
0.1875
0.25
0.3125
0.1875
0.25
0.1875
0.1875
0.3125
0.5625
0.25
0.125
0.5]
2,[0.375
0.375
0.1875
0.4375
0.25
0.3125
0.4375
0.625
0.375
0.5625
0.5
0.5
0.3125
0.1875
0.5]
3,[0.5
0.6875
0.75
0.625
0.6875
0.5625
0.6875
0.5625
0.6875
0.625
0.75
0.625
0.5
0.875
0.8125]
4,[0.9375
0.5625
0.5625
0.6875
0.875
0.6875
0.6875
0.6875
0.75
0.9375
0.75
0.9375
0.875
0.875
0.875]
5,[0.9375
0.5
0.875
0.9375
0.75
0.75
0.9375
0.9375
0.8125
0.75
0.9375
0.75
0.875
0.8125
0.875]
